x,y,z,class
-0.06,-0.816,-0.244,walking
-0.04,-0.856,0.016,walking
-0.032,-0.596,-0.248,walking
0,-0.84,-0.016,walking
-0.032,-0.72,-0.224,walking
-0.044,-0.88,0.02,walking
0.004,-0.688,-0.192,walking
0.048,-0.908,0.036,walking
-0.036,-0.772,-0.18,walking
-0.004,-0.812,0.028,walking
-0.144,-0.6,-0.14,walking
0.08,-0.944,0.108,walking
-0.02,-0.64,-0.172,walking
0.06,-0.876,0.016,walking
-0.008,-0.652,-0.208,walking
-0.016,-0.828,-0.012,walking
0.096,-0.772,-0.216,walking
-0.088,-0.784,0.012,walking
0.076,-0.756,-0.232,walking
-0.152,-0.792,-0.056,walking
0.08,-0.644,-0.252,walking
-0.056,-0.868,-0.064,walking
0.112,-0.64,-0.232,walking
0.004,-0.852,-0.068,walking
0.068,-0.684,-0.284,walking
-0.02,-0.86,-0.056,walking
0.092,-0.636,-0.26,walking
-0.088,-0.88,-0.02,walking
0.04,-0.692,-0.224,walking
0.036,-0.924,-0.076,walking
0.052,-0.66,-0.252,walking
-0.052,-0.864,-0.1,walking
0.104,-0.772,-0.276,walking
-0.052,-0.896,-0.076,walking
0.1,-0.74,-0.304,walking
-0.044,-0.832,-0.028,walking
0.052,-0.656,-0.232,walking
-0.092,-0.828,-0.04,walking
0.06,-0.632,-0.248,walking
-0.068,-0.84,-0.068,walking
0.076,-0.604,-0.256,walking
-0.06,-0.82,-0.088,walking
0.108,-0.592,-0.248,walking
-0.008,-0.836,-0.044,walking
0.072,-0.64,-0.224,walking
-0.016,-0.868,-0.056,walking
0.172,-0.6,-0.256,walking
-0.112,-0.792,-0.096,walking
0.032,-0.864,-0.2,walking
-0.144,-1.032,0.016,walking
-0.332,-0.992,-0.28,walking
0.044,-1.304,-0.152,walking
-0.052,-1.336,-0.14,walking
0.468,-1.184,-0.452,walking
0.068,-1.284,-0.032,walking
-0.012,-1.492,-0.16,walking
0.088,-1.168,-0.116,walking
-0.06,-1.676,-0.152,walking
0.088,-1.224,-0.084,walking
-0.028,-1.804,-0.168,walking
0.024,-1.148,-0.136,walking
-0.236,-1.536,-0.144,walking
0.004,-1.016,-0.136,walking
-0.184,-1.476,-0.212,walking
-0.02,-1.112,-0.144,walking
-0.02,-1.244,-0.244,walking
-0.012,-1.148,-0.204,walking
-0.176,-1.216,-0.232,walking
0.036,-1.032,-0.124,walking
-0.096,-1.076,-0.324,walking
-0.02,-0.976,-0.016,walking
-0.012,-0.908,-0.308,walking
0.028,-0.956,-0.06,walking
0.004,-0.808,-0.104,walking
0.06,-0.928,0.016,walking
0.08,-0.812,-0.18,walking
-0.02,-0.912,0.048,walking
0.044,-0.728,-0.152,walking
0.064,-0.864,0,walking
0.084,-0.7,-0.24,walking
-0.032,-0.904,0.008,walking
0.024,-0.688,-0.192,walking
0.024,-0.908,-0.088,walking
0.056,-0.624,-0.192,walking
-0.064,-0.94,-0.084,walking
0.064,-0.712,-0.236,walking
-0.1,-0.884,-0.028,walking
0.128,-0.704,-0.192,walking
0.008,-0.872,-0.04,walking
0.132,-0.712,-0.244,walking
-0.12,-0.816,-0.02,walking
0.14,-0.668,-0.22,walking
0.08,-0.96,0.044,walking
0.08,-0.708,-0.16,walking
-0.012,-0.876,0.012,walking
0.092,-0.616,-0.236,walking
0.008,-0.856,-0.112,walking
0.036,-0.628,-0.212,walking
0.064,-0.928,0.012,walking
0.184,-0.72,-0.164,walking
-0.076,-0.824,-0.036,walking
-0.132,-0.628,0.12,walking
-0.104,-1.032,0.184,walking
-0.104,-0.856,-0.212,walking
-0.032,-0.968,0.168,walking
